country,operator,cc,ndc,prefix
France,Orange,33,6001,336001
France,SFR,33,6002,336002
France,Bouygues,33,6003,336003
France,Zeop,33,60040,3360040
France,Orange,33,60041,3360041
France,Digicel Antilles Francaises Guyane,33,60042,3360042
France,Dauphin Telecom,33,60043,3360043
France,OUTREMER TELECOM,33,60044,3360044
France,UTS CARAIBES,33,60045,3360045
France,Orange,33,60051,3360051
France,SFR,33,60052,3360052
France,BJT,33,60053,3360053
France,Only (Telco OI),33,60054,3360054
France,Only (Telco OI),33,60055,3360055
France,Free,33,6006,336006
France,SFR,33,6007,336007
France,Orange,33,6008,336008
France,Bouygues,33,6009,336009
France,SFR,33,601,33601
France,SFR,33,602,33602
France,SFR,33,603,33603
France,Afone,33,6040,336040
France,Afone,33,6041,336041
France,e*Message,33,6042,336042
France,e*Message,33,6043,336043
France,Afone,33,6044,336044
France,SFR,33,6045,336045
France,SFR,33,6046,336046
France,SFR,33,6047,336047
France,SFR,33,6048,336048
France,SFR,33,6049,336049
France,Euroinformation Telecom,33,6050,336050
France,Euroinformation Telecom,33,6051,336051
France,Euroinformation Telecom,33,6052,336052
France,Euroinformation Telecom,33,6053,336053
France,Euroinformation Telecom,33,6054,336054
France,Lycamobile,33,6055,336055
France,Lycamobile,33,6056,336056
France,Lycamobile,33,6057,336057
France,Lycamobile,33,6058,336058
France,Lycamobile,33,6059,336059
France,e*Message,33,6060,336060
France,e*Message,33,6061,336061
France,e*Message,33,6062,336062
France,e*Message,33,6063,336063
France,Afone,33,6064,336064
France,Euroinformation Telecom,33,6065,336065
France,Euroinformation Telecom,33,6066,336066
France,Euroinformation Telecom,33,6067,336067
France,Euroinformation Telecom,33,6068,336068
France,Euroinformation Telecom,33,6069,336069
France,Orange,33,607,33607
France,Orange,33,608,33608
France,SFR,33,609,33609
France,SFR,33,61,3361
France,SFR,33,62,3362
France,Orange,33,63,3363
France,SFR,33,634,33634
France,SFR,33,635,33635
France,Euroinformation Telecom,33,636,33636
France,Globalstar Europe,33,63800,3363800
France,Prixtel,33,63801,3363801
France,Prixtel,33,63802,3363802
France,Prixtel,33,63803,3363803
France,Prixtel,33,63804,3363804
France,Prixtel,33,63805,3363805
France,IP Directions,33,63806,3363806
France,Alphalink,33,63807,3363807
France,Alphalink,33,63808,3363808
France,Alphalink,33,63809,3363809
France,Orange,33,640,33640
France,Globalstar Europe,33,64000,3364000
France,Globalstar Europe,33,64001,3364001
France,Globalstar Europe,33,64002,3364002
France,Globalstar Europe,33,64003,3364003
France,Globalstar Europe,33,64004,3364004
France,Coriolis Telecom,33,64005,3364005
France,Coriolis Telecom,33,64006,3364006
France,Coriolis Telecom,33,64007,3364007
France,Coriolis Telecom,33,64008,3364008
France,Coriolis Telecom,33,64009,3364009
France,La poste telecom,33,6410,336410
France,La poste telecom,33,6411,336411
France,La poste telecom,33,6412,336412
France,La poste telecom,33,6413,336413
France,La poste telecom,33,6414,336414
France,La poste telecom,33,6415,336415
France,Euroinformation Telecom,33,64160,3364160
France,Euroinformation Telecom,33,64161,3364161
France,Mobiquithings,33,64162,3364162
France,SCT,33,64163,3364163
France,Legos,33,64164,3364164
France,e*Message,33,64165,3364165
France,SFR,33,64166,3364166
France,SFR,33,64167,3364167
France,SFR,33,64168,3364168
France,SFR,33,64169,3364169
France,Orange,33,642,33642
France,Orange,33,643,33643
France,La poste telecom,33,6440,336440
France,Orange,33,6441,336441
France,Orange,33,6442,336442
France,Orange,33,6443,336443
France,Transatel,33,6444,336444
France,Transatel,33,6445,336445
France,Transatel,33,6446,336446
France,La poste telecom,33,6447,336447
France,La poste telecom,33,6448,336448
France,La poste telecom,33,6449,336449
France,Orange,33,645,33645
France,SFR,33,646,33646
France,Orange,33,647,33647
France,Orange,33,648,33648
France,Orange,33,649,33649
France,Keyyo,33,64950,3364950
France,Intercall,33,64990,3364990
France,Intercall,33,64991,3364991
France,e*Message,33,64994,3364994
France,Prixtel,33,64995,3364995
France,e*Message,33,64996,3364996
France,e*Message,33,64997,3364997
France,Prixtel,33,64998,3364998
France,SFR,33,64999,3364999
France,Bouygues,33,650,33650
France,Free,33,651,33651
France,Free,33,652,33652
France,Bouygues,33,6530,336530
France,Bouygues,33,6531,336531
France,Bouygues,33,6532,336532
France,Bouygues,33,6533,336533
France,Bouygues,33,6534,336534
France,Free,33,6535,336535
France,Free,33,6536,336536
France,Free,33,6537,336537
France,Free,33,6538,336538
France,Free,33,6539,336539
France,Orange,33,654,33654
France,SFR,33,655,33655
France,e*Message,33,656,33656
France,Mobiquithings,33,65660,3365660
France,Airbus Defence and Space,33,65661,3365661
France,Mobiquithings,33,65662,3365662
France,Mobiquithings,33,65663,3365663
France,Mobiquithings,33,65664,3365664
France,Mobiquithings,33,65665,3365665
France,Prixtel,33,65666,3365666
France,Prixtel,33,65667,3365667
France,Prixtel,33,65668,3365668
France,Prixtel,33,65669,3365669
France,La poste telecom,33,6567,336567
France,La poste telecom,33,6568,336568
France,e*Message,33,657,33657
France,Bouygues,33,658,33658
France,Bouygues,33,659,33659
France,Bouygues,33,66,3366
France,Orange,33,67,3367
France,Orange,33,68,3368
France,Free,33,695,33695
France,Bouygues,33,698,33698
France,Bouygues,33,699,33699
France,Euroinformation Telecom,33,7500,337500
France,SFR,33,7501,337501
France,SFR,33,7502,337502
France,SFR,33,7503,337503
France,SFR,33,7504,337504
France,Euroinformation Telecom,33,75050,3375050
France,Euroinformation Telecom,33,75051,3375051
France,Euroinformation Telecom,33,75052,3375052
France,Euroinformation Telecom,33,75053,3375053
France,Euroinformation Telecom,33,75057,3375057
France,Euroinformation Telecom,33,75058,3375058
France,Sewan communications,33,75059,3375059
France,Orange,33,7506,337506
France,Euroinformation Telecom,33,75060,3375060
France,Euroinformation Telecom,33,75070,3375070
France,Netcom Group,33,75071,3375071
France,Netcom Group,33,75072,3375072
France,Alphalink,33,75073,3375073
France,Alphalink,33,75074,3375074
France,Alphalink,33,75075,3375075
France,Globalstar Europe,33,75076,3375076
France,Globalstar Europe,33,75077,3375077
France,Bouygues,33,75078,3375078
France,Bouygues,33,75079,3375079
France,SFR,33,7508,337508
France,SFR,33,7509,337509
France,Lycamobile,33,751,33751
France,SFR,33,7516,337516
France,Completel,33,7517,337517
France,Lebara France Limited,33,7518,337518
France,Lebara France Limited,33,7519,337519
France,Prixtel,33,75202,3375202
France,Prixtel,33,75203,3375203
France,Prixtel,33,75204,3375204
France,Prixtel,33,75205,3375205
France,Prixtel,33,75206,3375206
France,Prixtel,33,75207,3375207
France,Prixtel,33,75208,3375208
France,Prixtel,33,75209,3375209
France,Lebara France Limited,33,7521,337521
France,Lebara France Limited,33,7522,337522
France,Lebara France Limited,33,7523,337523
France,Lebara France Limited,33,7524,337524
France,Lebara France Limited,33,7525,337525
France,SFR,33,7526,337526
France,Lebara France Limited,33,7527,337527
France,Lebara France Limited,33,7528,337528
France,Lebara France Limited,33,7529,337529
France,Lycamobile,33,753,33753
